outlet_id,outlet_name,url,outlet_type,community_id
1,WBFX FM 101.3,http://1013thebrew.iheart.com/,Radio Station,31
2,3ABN,http://3abn.org/,Online Only,31
3,WOLI 910,http://activanetwork.com/greenville/,Radio Station,76
4,Ann Arbor Observer,http://annarborobserver.com/articles/front_page.html,Newspaper/Magazine,3
5,Antioch Herald,http://antiochherald.com/,Online Only,4
6,Beavercreek News Current,http://beavercreeknewscurrent.com/,Newspaper/Magazine,7
7,BevCam,http://bevcam.org/,TV Station,10
8,Bozeman Magazine,http://bozemanmagazine.com/,Newspaper/Magazine,13
9,NA,http://denver.yourhub.com/Thornton,Online Only,85
10,KOBI Channel 5 California Oregon Broadcasting NBC,http://kobi5.com/,TV Station,50
11,WTVW TV 7,http://www.tristatehomepage.com/,TV Station,33
12,Owasso Reporter,http://www.tulsaworld.com/communities/owasso/,Newspaper/Magazine,60
13,KYCR AM 1440,http://www.twincitiesbusinessradio.com/,Radio Station,30
14,KHOT 105.9 FM,http://www.univision.com/arizona/khot,Radio Station,28
15,NA,http://www.univision.com/musica,Radio Station,94
16,WPNR-FM 90.7 Power 90.7 FM,http://www.utica.edu/student/activities/organizations/wpnr/index.cfm,Radio Station,87
17,Observer-Dispatch,http://www.uticaod.com/,Newspaper/Magazine,87
18,Valley Magazine,http://www.valleymagazinepsu.com/,Newspaper/Magazine,80
19,W213AW 90.5 FM,http://www.vcyamerica.org/,Radio Station,15
20,Visalia Times-Delta,http://www.visaliatimesdelta.com/,Newspaper/Magazine,90
21,Local in Ann Arbor,https://localinannarbor.com/,Online Only,3
22,MiBiz,https://mibiz.com/,Newspaper/Magazine,31
23,Aquinas College Saint,https://thesaintaq.com/,Newspaper/Magazine,31
24,Visit Glendale and the West Valley,https://visitglendale.wordpress.com/,Online Only,28
25,West Bend Current,https://westbendcurrent.com/,Online Only,93
26,The Bearvercreek Ohio Buzz,https://www.facebook.com/The-Beavercreek-Ohio-Buzz-219750630759/,Online Only,7
27,Free Talk Radio Live Blog,https://www.freetalklive.com/,Online Only,38
28,Michigan Daily,https://www.michigandaily.com/,Newspaper/Magazine,3
29,Patersonian TAP,https://www.tapinto.net/towns/paterson,Online Only,65
30,KULT-LP FM 94.5,https://www.uni.edu/kult/,Radio Station,14
31,NA,http://1013.iheart.com/,Radio Station,91
32,WONQ AM 1030 Flordia Broadcasters,http://1030lagrande.com/,Radio Station,59
33,WGBF FM 103.1 Rock,http://103gbfrocks.com/,Radio Station,33
34,WQCK-FM1 105.9 105.9/106.9 Lion Country's Rock Station,http://1059qwikrock.com/,Radio Station,80
35,KSTN 105.9,http://1059thebull.com/,Radio Station,81
36,KTGX FM 106.1 Clear Channel,http://1061thetwister.iheart.com/,Radio Station,60
37,NA,http://590kid.com/,Radio Station,70
38,W222AF (WGST) 92.3,http://640wgst.iheart.com/,Radio Station,48
39,WVCC AM 720,http://720thevoice.iheart.com/,Radio Station,58
40,WPAT-FM 93.1 WPAT Licensing,http://931amor.lamusica.com/,Radio Station,65
41,W231DD 94.1 FM (WVIC Lansing rebroadcast),http://941theduke.com/,Radio Station,31
42,K231AA 94.1 FM,http://957theparty.iheart.com/,Radio Station,12
43,WKGL FM 96.7 The Eagle,http://967theeagle.net/,Radio Station,47
44,WDIF Marion's Radio station,http://975wdif.com/,Radio Station,49
